0,123044,300427,18.800,0.500,58500.0000,13.16,24.44,20200918,118.0000,20260312,123044,55000.870000,20200413
0,123045,300652,20.130,0.500,28850.0000,14.09,26.17,20200918,113.0000,20260312,123045,17108.080000,20200413
0,128101,002036,14.480,0.300,30000.0000,10.14,18.82,20200921,,20260316,128101,29996.340000,20200413
0,128099,002641,6.160,0.300,70000.0000,4.31,8.01,20200917,108.0000,20260311,128099,58307.190000,20200410
1,113572,603663,14.190,0.400,20500.0000,9.93,18.45,20200918,108.0000,20260312,191572,16982.090000,20200409
1,110067,600909,8.670,0.200,280000.0000,,11.27,20200918,107.0000,20260312,190067,279962.720000,20200409
0,128100,002503,2.900,0.400,80000.0000,2.03,3.77,20200918,112.0000,20260312,128100,79991.830000,20200409
1,113569,603660,14.840,0.400,51600.0000,10.39,19.29,20200914,115.0000,20260309,191569,51590.800000,20200408
1,113570,603331,11.540,0.400,28000.0000,8.08,15.00,20200917,110.0000,20260311,191570,27998.300000,20200408
1,113567,603617,11.460,0.500,21000.0000,8.02,14.90,20200910,113.0000,20260304,191567,20995.800000,20200403
1,113568,603667,8.910,0.500,33000.0000,6.24,11.58,20200914,118.0000,20260306,191568,32994.300000,20200402
1,113571,603916,18.880,0.500,69680.0000,13.22,24.54,20200918,115.0000,20260312,191571,35076.750000,20200401
1,113566,603499,10.770,0.500,20000.0000,7.54,12.92,20200907,118.0000,20260228,191566,16145.320000,20200331
1,110066,600711,4.880,0.400,238646.0000,3.42,6.34,20200907,110.0000,20260302,190066,235498.170000,20200331
0,128098,002773,35.300,0.400,163000.0000,24.71,44.13,20200911,111.0000,20201123,128098,90601.560000,20200331
0,123043,300645,15.410,0.500,17500.0000,10.79,20.03,20200911,115.0000,20260305,123043,16609.230000,20200331
1,113032,601233,14.350,0.300,230000.0000,10.05,18.66,20200907,108.0000,20260302,191032,229980.420000,20200320
0,128097,002614,10.690,0.400,120000.0000,7.48,13.90,20200902,110.0000,20260225,128097,60166.700000,20200318
0,128096,002701,4.520,0.500,108680.0000,3.16,5.88,20200817,110.0000,20260211,128096,92577.540000,20200316
1,113564,603136,23.800,0.500,30000.0000,16.66,30.94,20200907,120.0000,20260228,191564,29961.900000,20200316
1,113565,603336,10.000,0.400,33200.0000,7.00,13.00,20200903,112.0000,20260226,191565,30903.700000,20200316
0,128095,002812,65.090,0.400,160000.0000,45.56,84.62,20200817,110.0000,20260211,128095,134550.990000,20200228
1,113563,603368,24.470,0.300,80220.0000,17.13,31.81,20200722,108.0000,20260116,191563,80202.850000,20200224
0,128094,002860,13.950,0.500,28000.0000,9.77,18.14,20200722,115.0000,20260116,128094,27971.010000,20200219
0,123042,300619,24.400,0.500,16666.0000,17.08,31.72,20200720,110.0000,20260114,123042,16662.950000,20200214
1,113561,603089,10.230,0.500,29000.0000,7.16,13.30,20200707,112.0000,20251231,191561,15886.920000,20200210
1,113562,603659,82.730,0.300,87000.0000,57.91,107.55,20200708,110.0000,20250102,191562,75992.340000,20200204
0,123039,300577,33.220,0.500,22300.0000,23.25,43.19,20200702,115.0000,20251226,123039,22188.030000,20200123
0,123038,300545,25.290,0.500,20000.0000,17.70,32.88,20200701,113.0000,20251225,123038,14754.480000,20200122
1,113030,601515,6.750,0.400,29533.0000,4.73,8.78,20200630,112.0000,20251224,191030,29529.000000,20200120
1,110064,600939,4.570,0.400,166000.0000,3.20,5.94,20200629,113.0000,20251220,190064,165987.700000,20200116
1,113555,603301,14.010,0.500,44000.0000,9.81,18.21,20200629,118.0000,20251219,191555,16903.460000,20200114
1,110065,600985,9.330,0.200,275740.0000,6.53,12.13,20200629,106.0000,20251223,190065,275697.700000,20200113
0,123036,300450,38.990,0.300,100000.0000,27.29,50.69,20200617,110.0000,20251211,123036,99226.560000,20200110
1,113557,603098,10.110,0.400,60000.0000,7.08,13.14,20200629,115.0000,20251219,191557,59992.100000,20200110
1,113559,603901,10.320,0.600,51217.0000,7.22,13.42,20200629,112.0000,20251223,191559,51198.200000,20200110
1,113556,603690,29.370,0.400,35600.0000,20.56,38.18,20200629,120.0000,20251220,191556,29628.110000,20200109
1,113553,603180,44.140,0.400,39200.0000,30.90,57.38,20200619,118.0000,20251213,191553,27491.480000,20200107
1,113029,601615,12.460,0.400,170000.0000,8.72,16.20,20200622,108.0000,20251216,191029,98277.920000,20200107
1,110063,600567,3.300,0.300,186000.0000,2.31,4.29,20200619,111.0000,20251213,190063,185978.800000,20200103
0,128042,002823,12.960,1.000,41600.0000,9.07,16.85,20190203,112.0000,20240730,128042,41576.040000,20180903
1,110062,600498,25.650,0.200,308835.0000,17.96,33.35,20200608,106.0000,20251202,190062,308771.680000,20191225
1,113552,603960,19.780,0.500,18000.0000,13.85,25.71,20200608,112.0000,20200807,191552,0.870000,20191219
1,113550,603035,9.650,0.500,99242.0000,6.76,12.55,20200522,115.0000,20251118,191550,45525.210000,20191212
1,113549,603861,8.880,0.300,88000.0000,6.22,11.54,20200521,110.0000,20251115,191549,87994.600000,20191211
0,123035,300296,6.980,0.500,80000.0000,4.89,9.07,20200520,110.0000,20251114,123035,79975.810000,20191209
1,110061,600674,9.580,0.200,400000.0000,6.71,12.45,20200515,106.0000,20251111,110061,399996.000000,20191202
1,110060,600326,7.160,0.400,108698.8000,5.01,9.31,20200502,110.0000,20251028,190060,70647.960000,20191128
0,123034,300265,7.970,0.500,29700.0000,5.58,10.36,20200508,113.0000,20251104,123034,7813.090000,20191128
0,123033,300748,40.970,0.400,43500.0000,28.68,53.26,20200507,114.0000,20251101,123033,43455.430000,20191125
1,113548,603688,15.100,0.400,36000.0000,10.57,19.63,20200501,118.0000,20251028,191548,12301.590000,20191122
1,113546,603320,14.100,0.800,22993.0000,9.87,18.33,20200429,115.0000,20251023,191546,22983.000000,20191121
